videoId,query,title,description,publishedAt,channelTitle,viewCount,likeCount,commentCount,duration,viewCount_norm,likeCount_norm,commentCount_norm,virality_score
O_fab1Me1Us,RHONairobi,The gloves are off | The Real Housewives of Nairobi | Showmax Original,"Getting into the ring with our #RHONairobi Housewives? Would definitely not recommend. These ladies throw shade 🥊🔥   #RHONairobi only on Showmax  https://shw.mx/3ExQ4rxWhich 

Subscribe to our YouTube channel: http://shw.mx/2xs8dFJ 

What is Showmax? 
Showmax is the new way to watch TV online. Get instant access to thousands of the best series, movies, kids’ shows and documentaries. All you need is the internet to watch Showmax on your phone, tablet, laptop or TV. You can even download to watch offline with the Showmax app on phones and tablets. 

Connect with Showmax Online: 
Visit our Website: http://shw.mx/2x8owYw 
Discover more on our Blog: http://shw.mx/2hd0PaT 
Like Showmax on Facebook: http://shw.mx/2xsDcl2 
Follow Showmax on Instagram: http://shw.mx/2xfr5Y5 
Follow Showmax on Twitter: http://shw.mx/2f5aFYl",2023-06-02T14:00:25Z,Showmax,172537,1535,307,PT12M7S,1.0,1.0,1.0,1.0
GZBo1cur_UU,RHONairobi,Launch Trailer | The Real Housewives of Nairobi | Showmax Original,"The wait is over: it's time to welcome The Real Housewives of Nairobi! Step into the lives of five influential and successful women as they navigate their lavish lifestyles, relationships and careers in Nairobi, Kenya. Expect luxe, style and drama for days. 

#RHONairobi stars Susan Kaittany, Vera Sidika, Sonal Maherali, Minne Kariuki and Lisa Christoffersen. 

Watch new episodes of The Real Housewives of Nairobi every Thursday, only on Showmax. https://shw.mx/3ExQ4rx

Subscribe to our YouTube channel: http://shw.mx/2xs8dFJ 

What is Showmax? 
Showmax is the new way to watch TV online. Get instant access to thousands of the best series, movies, kids’ shows and documentaries. All you need is the internet to watch Showmax on your phone, tablet, laptop or TV. You can even download to watch offline with the Showmax app on phones and tablets. 

Connect with Showmax Online: 
Visit our Website: http://shw.mx/2x8owYw 
Discover more on our Blog: http://shw.mx/2hd0PaT 
Like Showmax on Facebook: http://shw.mx/2xsDcl2 
Follow Showmax on Instagram: http://shw.mx/2xfr5Y5 
Follow Showmax on Twitter: http://shw.mx/2f5aFYl",2023-02-23T15:43:53Z,Showmax,97177,418,102,PT1M11S,0.5632241200438167,0.27231270358306187,0.3322475570032573,0.45584978147254407
aJb-iZbbAyY,RHONairobi,It’s time for Nairobi to shine! | The Real Housewives of Nairobi | Showmax Original,"Meet The Real Housewives of Nairobi, they are hardworking, affluent, influential, unapologetic, and are not ashamed to live large and live well because they have earned it.

The Real Housewives of Nairobi will follow five women - Sonal Maherali, Susan Kaittany, Vera Sidika, Minne Kariuki, and Lisa Christoffersen - as they navigate their lavish lifestyles, relationships and careers in Nairobi, Kenya.
The Real Housewives of Nairobi starts streaming 23 February, only on Showmax

.Subscribe to our YouTube channel: http://shw.mx/2xs8dFJ 

What is Showmax? 
Showmax is the new way to watch TV online. Get instant access to thousands of the best series, movies, kids’ shows and documentaries. All you need is the internet to watch Showmax on your phone, tablet, laptop or TV. You can even download to watch offline with the Showmax app on phones and tablets. 

Connect with Showmax Online: 
Visit our Website: http://shw.mx/2x8owYw 
Discover more on our Blog: http://shw.mx/2hd0PaT 
Like Showmax on Facebook: http://shw.mx/2xsDcl2 
Follow Showmax on Instagram: http://shw.mx/2xfr5Y5 
Follow Showmax on Twitter: http://shw.mx/2f5aFYl",2023-02-03T06:58:18Z,Showmax,57668,201,99,PT43S,0.3342355552722025,0.13094462540716612,0.32247557003257327,0.281648825019999
VasTNN8OGWA,RHONairobi,Meet Vera | The Real Housewives of Nairobi | Showmax Original,"Vera’s one of the most talked about celebrities in Kenya and she’s ready to keep the conversation going on The Real Housewives of Nairobi 🔥#RHONairobi starts 23 Feb, only on Showmax.

Subscribe to our YouTube channel: http://shw.mx/2xs8dFJ 

What is Showmax? 
Showmax is the new way to watch TV online. Get instant access to thousands of the best series, movies, kids’ shows and documentaries. All you need is the internet to watch Showmax on your phone, tablet, laptop or TV. You can even download to watch offline with the Showmax app on phones and tablets. 

Connect with Showmax Online: 
Visit our Website: http://shw.mx/2x8owYw 
Discover more on our Blog: http://shw.mx/2hd0PaT 
Like Showmax on Facebook: http://shw.mx/2xsDcl2 
Follow Showmax on Instagram: http://shw.mx/2xfr5Y5 
Follow Showmax on Twitter: http://shw.mx/2f5aFYl",2023-02-13T11:00:50Z,Showmax,38582,695,32,PT23S,0.223615804146357,0.4527687296416938,0.10423452768729642,0.2629968440513321
B8xDysURIro,RHONairobi,Zena fights Farah and Dr C | RHONairobi S2 | Showmax,"At what was meant to be a Pink Queens event, things worsened between Zena, Farah and Dr C. Watch the full episode of The Real Housewives of Nairobi on Showmax:  https://shw.mx/rhons2yt001

Subscribe to our YouTube channel: http://shw.mx/2xs8dFJ 

Connect with Showmax Online: 
Visit our Website: https://shw.mx/home-page-004
Discover more on Showmax Stories: http://shw.mx/2hd0PaT",2024-07-15T15:00:11Z,Showmax,45925,265,98,PT2M54S,0.26617479149399836,0.17263843648208468,0.31921824104234525,0.25074722017327195
UG0dWE2Vwhw,"""Real Housewives of Nairobi""","Classy, sassy and shade – The Real Housewives of Nairobi | S1 | EP 1 | Maisha Magic Plus","In the premiere episode of the Real Housewives of Nairobi we meet five dynamic women, Susan Kaittany, Vera Sidika, Sonal Maherali, Minne Kariuki and Lisa Christoffersen. Things take a dramatic turn at Susan event. Watch.

---
Official Website for more https://bit.ly/2URCLen
Watch more series and movies on Showmax, start your 14-day free trial here: https://bit.ly/3kSlah7
Download the DStv App and stream your favourite shows: https://bit.ly/3398n3O

Follow Maisha Magic Plus:
https://www.facebook.com/maishamagicplus
https://twitter.com/maishamagicplus
https://www.instagram.com/maishamagicplus_tv",2023-07-22T18:00:20Z,Maisha Magic Plus,56481,272,8,PT4M24S,0.32735587149423023,0.1771986970684039,0.026058631921824105,0.2446219919519127
b83F5UfCTM4,RHONairobi,It's their time | The Real Housewives of Nairobi S2 | Showmax Original,"The Nairobi queens are back on your screens with a juicier, spicier and more exciting season and three new faces. The Real Housewives of Nairobi S2 is now streaming, only on Showmax. #RHONairobi",2024-05-10T10:29:56Z,Showmax,45659,191,25,PT1M12S,0.2646330931916053,0.1244299674267101,0.08143322475570032,0.20210233148499573
MdaJEYDYv-g,RHONairobi,QUEENSDREAMS - REAL HOUSEWIVES OF NAIROBI AUDITION TAPE 2018 - #RHONAIROBI #RHOKAMPALA #RHODAR,"COMING SOON TO A SCREEN NEAR YOU

Kindly Watch in 1080p. This was shot guerilla-style in the beginning stages of conceptualizing and auditions for this concept in September 2017.

We apologize for the sound quality of this video.
Shot on Canon 70d
Sound on Canon 70d

A Director In Heels Production

Creator & Executive Producer
Claire Ash Meadow

Make Up 
Phoina Beauty
Willy Collins

Hair & Interview Location provided by
Lily Hairline

Dresses provided by
All Divas Weddings (Sonal)
La Elegant Kenya (Catherine)
 
Camera Operator, Sound, Graphics & Edit
Claire Ash Meadow

© DIRECTOR IN HEELS PRODUCTIONS ©",2019-05-19T10:22:11Z,Director In Heels Productions,38604,242,0,PT3M58S,0.22374331302850983,0.15765472312703582,0.0,0.17365966859886484
gbgOjTXSnLU,RHONairobi,Your favourite queens plus 3 new faces | The Real Housewives of Nairobi S2 | Showmax Original,"After a groundbreaking premiere season, our favourite Nairobi queens are back to set the timeline ablaze, with three new faces joining the highly anticipated second season. The Real Housewives of Nairobi S2 premieres on 10 May, only on Showmax. #RHONairobi

Subscribe to our YouTube channel: http://shw.mx/2xs8dFJ 

Connect with Showmax Online: 
Visit our Website: https://shw.mx/home-page-004
Discover more on Showmax Stories: http://shw.mx/2hd0PaT",2024-04-16T07:15:57Z,Showmax,33507,127,51,PT1M4S,0.19420182337701478,0.08273615635179153,0.16612377850162866,0.16212369988940104
T1TOrc242Es,"""Real Housewives Nairobi""",Minne and Vera discuss Susan | The Real Housewives of Nairobi  | Exclusive to Showmax | #shorts,"What do Minne and Vera REALLY think about the Posh Queen, Susan? Time to find out as they spill their thoughts on the latest episode of #RHONairobi.

Watch new episodes of The Real Housewives of Nairobi every Thursday, only on Showmax. https://shw.mx/3ExQ4rx
 
Subscribe to our YouTube channel: http://shw.mx/2xs8dFJ 

What is Showmax? 
Showmax is the new way to watch TV online. Get instant access to thousands of the best series, movies, kids’ shows and documentaries. All you need is the internet to watch Showmax on your phone, tablet, laptop or TV. You can even download to watch offline with the Showmax app on phones and tablets. 

Connect with Showmax Online: 
Visit our Website: http://shw.mx/2x8owYw 
Discover more on our Blog: http://shw.mx/2hd0PaT 
Like Showmax on Facebook: http://shw.mx/2xsDcl2 
Follow Showmax on Instagram: http://shw.mx/2xfr5Y5 
Follow Showmax on Twitter: http://shw.mx/2f5aFYl",2023-03-14T10:05:30Z,Showmax,22768,433,13,PT1M,0.13196010131160274,0.2820846905537459,0.04234527687296417,0.15604902495634274
27Na_NS1OYw,"""Real Housewives of Nairobi""",'The Real Housewives of Nairobi' cast speaks about the show on #theTrend,"Subscribe to NTV Kenya channel for latest Kenyan news today and everyday. Get the Kenya news updates, discussions and other exciting shows.  

Website: ntv.nation.co.ke || Paper: Daily Nation || Twitter: @ntvkenya || Facebook: NTV Kenya || Instagram: NTV Kenya",2023-02-24T20:54:28Z,NTV Kenya,27826,158,40,PT37M25S,0.16127555249019052,0.10293159609120521,0.13029315960912052,0.1420422044582837
IhP4hHBlgmU,"""Real Housewives of Nairobi""",Never-before-seen moments | The Real Housewives of Nairobi | Showmax Original,"One thing about our queens? They are exclusive but believe in sharing. So here we are, sharing all these never-before-seen moments that you love to see, courtesy of #RHONairobi Housewives. Watch episodes of The Real Housewives of Nairobi only on Showmax. https://shw.mx/3ExQ4rx

Subscribe to our YouTube channel: http://shw.mx/2xs8dFJ 

What is Showmax? 
Showmax is the new way to watch TV online. Get instant access to thousands of the best series, movies, kids’ shows and documentaries. All you need is the internet to watch Showmax on your phone, tablet, laptop or TV. You can even download to watch offline with the Showmax app on phones and tablets. 

Connect with Showmax Online: 
Visit our Website: http://shw.mx/2x8owYw 
Discover more on our Blog: http://shw.mx/2hd0PaT 
Like Showmax on Facebook: http://shw.mx/2xsDcl2 
Follow Showmax on Instagram: http://shw.mx/2xfr5Y5 
Follow Showmax on Twitter: http://shw.mx/2f5aFYl",2023-05-19T08:31:07Z,Showmax,31156,151,9,PT3M41S,0.18057576056150276,0.098371335504886,0.029315960912052116,0.13733568434993096
QTkd10WpKo8,"""Real Housewives of Nairobi""",Vera Sidika is ready to reinvent herself | The Real Housewives of Nairobi S2 | Showmax Original,"Vera Sidika talks about reinventing herself for the second season of The Real Housewives of Nairobi, motherhood, her close friendship with Minne and more. Catch a new episode of #RHONairobi S2 every Friday, exclusively on Showmax: https://shw.mx/rhons2yt001

Subscribe to our YouTube channel: http://shw.mx/2xs8dFJ 

Connect with Showmax Online: 
Visit our Website: https://shw.mx/home-page-004
Discover more on Showmax Stories: http://shw.mx/2hd0PaT",2024-07-15T14:00:23Z,Showmax,27339,164,10,PT3M46S,0.1584529695079896,0.10684039087947883,0.03257328990228013,0.12666787291000547
